,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount
1,130124,"40.3093070984,48.5092773438,40.3427505493,48.5428352356",uuuu,85632685.0,,cf4f4703e66e2cdd116c371122647d75,,2fa3188b0becb16749ca5d70e799d1ed,48.52775,40.324689,102006923.0,uuuu,RU,RU,1457384854.0,48.527214,40.325007,102006923.0,Glubokiy,85688033.0,102/006/923/102006923.geojson,locality,85688033.0,quattroshapes,,,RU,Armavir Radar Station,822
3,130126,"44.6350822449,48.5000267029,44.666305542,48.5211372375",uuuu,85632685.0,,57fd08c741ca2344db911a51a7e85766,,1535aad3e3b737ab8c9ce1cf60dd71d2,48.509582,44.647443,102006929.0,uuuu,RU,RU,1452297733.0,48.508289,44.645906,102006929.0,Krasnoarmeysk,85688101.0,102/006/929/102006929.geojson,locality,85688101.0,quattroshapes,,,RU,Krasnoarmeysk,61
4,130127,"43.8863334656,48.4928016663,43.9177284241,48.5115356445",uuuu,85632685.0,,0518c7418189152206e399026587cdc3,,d4a692561b45d45bebd8627bcb0814ef,48.502739,43.90115,102006931.0,uuuu,RU,RU,1452297734.0,48.502763,43.901449,102006931.0,Buzinovka,85688101.0,102/006/931/102006931.geojson,locality,85688101.0,quattroshapes,,,RU,44th Infantry Division (Wehrmacht),9332
7,130131,"44.5110015869,48.4551925659,44.5385284424,48.4851379395",uuuu,85632685.0,,602b1e2885e7f2286f173fedbf2e828f,,5f7a9389ac445cf64f40098b47320312,48.472442,44.523447,102006939.0,uuuu,RU,RU,1452297732.0,48.473494,44.522091,102006939.0,Kirova,85688101.0,102/006/939/102006939.geojson,locality,85688101.0,quattroshapes,,,RU,Posëlok Imeni Kirova,14
8,130132,"41.3560295105,48.4490280151,41.4261398315,48.481918335",uuuu,85632685.0,,baff27bbdf8d19160d76c4f2ee1b3802,,b0fceb209f038e1dd5e007c038c06c0d,48.465483,41.388151,102006941.0,uuuu,RU,RU,1452297733.0,48.460541,41.376464,102006941.0,Kachalin,85688033.0,102/006/941/102006941.geojson,locality,85688033.0,quattroshapes,,,RU,Gavriil Kachalin,372
13,130138,"40.5764732361,48.3958053589,40.6043624878,48.4225845337",uuuu,85632685.0,,0d868d6825e14ccb8defd5536535e43d,,b1dd45a65369b8d50d06040710e0b31d,48.407882,40.593334,102006955.0,uuuu,RU,RU,1452297733.0,48.408243,40.595446,102006955.0,Samburov,85688033.0,102/006/955/102006955.geojson,locality,85688033.0,quattroshapes,,,RU,SuitSat,629
14,130139,"41.7549438477,48.403137207,41.7945289612,48.4203872681",uuuu,85632685.0,,e3d72a465897010f0b64698459a673b0,,fad00858a3f0c0c162a1a3a2bcc11e07,48.410809,41.776467,102006957.0,uuuu,RU,RU,1452297734.0,48.411665,41.776467,102006957.0,Nagornyy,85688033.0,102/006/957/102006957.geojson,locality,85688033.0,quattroshapes,,,RU,Nagorny,52
16,130141,"41.4650840759,48.3880271912,41.4862518311,48.4033889771",uuuu,85632685.0,,d9e886a0b949a79f32cb9419a9cc55d7,,8eb825676523bce0c4b6eaf8aabc0a8f,48.396506,41.476082,102006961.0,uuuu,RU,RU,1452297734.0,48.396172,41.476082,102006961.0,Skosyrskaya,85688033.0,102/006/961/102006961.geojson,locality,85688033.0,quattroshapes,,,RU,203rd Rifle Division,1350
18,130143,"43.9389076233,48.3849258423,43.958278656,48.4008522034",uuuu,85632685.0,,b6e25df67dd72f8c3b19fa60b4ce487b,,f4f6b54243d64527cc36bf72da154e59,48.394139,43.949862,102006967.0,uuuu,RU,RU,1452297734.0,48.394556,43.950646,102006967.0,Stepanovka,85688101.0,102/006/967/102006967.geojson,locality,85688101.0,quattroshapes,,,RU,Stepanovka,59
19,130144,"41.9063873291,48.3612213135,41.9725265503,48.3952789307",uuuu,85632685.0,,419b1faa713a6d08786552b7fcca0e04,,c69585b4fe0a3a09af42bd81b4a6e9c7,48.378325,41.938304,102006969.0,uuuu,RU,RU,1452297732.0,48.382372,41.94106,102006969.0,Voznesenskiy,85688033.0,102/006/969/102006969.geojson,locality,85688033.0,quattroshapes,,,RU,Voznesensky,151
