,Unnamed: 0,Unnamed: 0.1,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount,wd:id,wof:id,wk_page_id
0,0,9597,"-1.50654727681,47.7767175477,-1.2372844315,47.9887968407",uuuu,85633147.0,,f4f27b7eb42e7f3f76b4921c6fd6136d,,f1d071f2f10cd9f066f82b281e8c7e1a,47.88205,-1.374566,102070231.0,uuuu,FR,FR,1452297254.0,47.887862,-1.372527,0.0,Retiers,404227661.0,102/070/231/102070231.geojson,county,85683461.0,quattroshapes,,,FR,Retiers,50,Q301556,102070231.0,15438908
1,2,9599,"2.6048934841,47.9864270853,2.82911952461,48.0692007142",uuuu,85633147.0,,3b70672c08a5bb8f50bc05aac5cc4cae,,82969eb9051427d14f36753db3d4857d,48.029832,2.718603,102070237.0,uuuu,FR,FR,1452297252.0,48.027907,2.690574,0.0,Chalette-Sur-Loing,404227685.0,102/070/237/102070237.geojson,county,85683479.0,quattroshapes,,,FR,Châlette-sur-Loing,46,,102070237.0,
2,3,9600,"-0.638665714226,47.5474740899,-0.359616569169,47.6620484493",uuuu,85633147.0,,e22a06a6d9e770a9adb5b15d7894c2af,,2937b20b22b55883059ddaac84f86641,47.599682,-0.498663,102070239.0,uuuu,FR,FR,1452297252.0,47.598648,-0.524032,0.0,Tierce,404227693.0,102/070/239/102070239.geojson,county,85683327.0,quattroshapes,,,FR,Tierce,126,Q1200949,102070239.0,14446276
3,4,9601,"-1.44035647495,48.4568749243,-1.20689392383,48.6061780825",uuuu,85633147.0,,0682322e03f76daac3a8ed85e49870d8,,c485b279c0e738b2fafb01e8f561b73c,48.534687,-1.334743,102070241.0,uuuu,FR,FR,1452297255.0,48.532169,-1.3365,0.0,Saint-James,404227695.0,102/070/241/102070241.geojson,county,85683489.0,quattroshapes,,,FR,Saint-James,297,Q478259,102070241.0,15861357
4,5,9602,"-1.47224036821,43.028952159,-1.22466537764,43.3035811943",uuuu,85633147.0,,ff57acc8922fa345670777f89bba928c,,bc68c356de779763b1681f928727af10,43.170292,-1.344157,102070243.0,uuuu,FR,FR,1452297253.0,43.176626,-1.32165,0.0,Saint-Etienne-De-Baigorry,404227727.0,102/070/243/102070243.geojson,county,85683539.0,quattroshapes,,,FR,Saint-Étienne-de-Baïgorry,645,,102070243.0,
5,6,9603,"6.02022341688,45.7471546447,6.21538559296,45.9164560655",uuuu,85633147.0,,f72d627ca2fb00b04d80cfcf0752112d,,c8e8a586a5e7f29acac0e360bc8c0028,45.83202,6.121732,102070245.0,uuuu,FR,FR,1452297255.0,45.811627,6.15426,0.0,Seynod,404227747.0,102/070/245/102070245.geojson,county,85683227.0,quattroshapes,,,FR,Seynod,181,Q818981,102070245.0,3116055
6,7,9604,"2.36467356473,48.8719193165,2.4106944369,48.9016517753",uuuu,85633147.0,,b5edea9a4ab3710e10c53d3e83a45bb4,,c4b7d5e8c60aff2e94a0cddf1337eefb,48.886869,2.384696,102070247.0,uuuu,FR,FR,1452297254.0,48.887318,2.384347,0.0,Paris-19E-Arrondissement,404227749.0,102/070/247/102070247.geojson,county,85683497.0,quattroshapes,,,FR,19th arrondissement of Paris,219,,102070247.0,
7,8,9605,"1.54739566516,48.957753284,1.73246892846,49.0163480512",uuuu,85633147.0,,445c57d490513e9de46a88121e7044ed,,52a02c42ea38c22aceea35a1624224cc,48.987438,1.645788,102070249.0,uuuu,FR,FR,1452297252.0,48.975823,1.68575,0.0,Mantes-La-Ville,404227757.0,102/070/249/102070249.geojson,county,85683367.0,quattroshapes,,,FR,Mantes-la-Ville,295,Q760624,102070249.0,693573
8,9,9606,"2.31407141626,43.9321373337,2.52325482271,44.1015554963",uuuu,85633147.0,,23e71ed65a011089abfa41e1af3dace7,,d7da6b6a30fda8877f293f3dbf20ea37,44.006859,2.409757,102070253.0,uuuu,FR,FR,1452297255.0,44.004838,2.408172,0.0,Valence-D'Albigeois,404227763.0,102/070/253/102070253.geojson,county,85683603.0,quattroshapes,,,FR,Valence-d'Albigeois,18,Q1467992,102070253.0,15679407
9,10,9607,"3.15809042114,47.6344379288,3.45725637443,47.8263374909",uuuu,85633147.0,,f2e4dfa345a94b7bb3d2a211c71ee72a,,759bd3a92c31e346c2b6a6adc038acb9,47.738825,3.325665,102070255.0,uuuu,FR,FR,1452297253.0,47.719407,3.350595,0.0,Toucy,404227781.0,102/070/255/102070255.geojson,county,85683503.0,quattroshapes,,,FR,Toucy,77,Q837929,102070255.0,5704879
