,Unnamed: 0,Unnamed: 0.1,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount,wd:id,wof:id,wk_page_id
0,6,94024,"28.4022369385,-25.1780109406,28.4315013885,-25.1502723694",uuuu,85633813.0,,ad2ada46438fac65f2f7917c8f8ae97c,,6c5efef935273521c25493961e7de1c7,-25.16431,28.419018,101925021.0,uuuu,ZA,ZA,1452292192.0,-25.163215,28.419297,101925021.0,Masobe,102089809.0,101/925/021/101925021.geojson,locality,85688895.0,quattroshapes,,,ZA,Paroedura masobe,129,,101925021.0,
1,7,94025,"28.9225101471,-25.1797657013,28.9393692017,-25.1687107086",uuuu,85633813.0,,64cc5ea866ec8dc6262df8291665f54a,,f8e4f2e3c37664b6c1299f188e7144e2,-25.175179,28.930173,101925023.0,uuuu,ZA,ZA,1452292193.0,-25.174807,28.930334,101925023.0,Morwe,102089531.0,101/925/023/101925023.geojson,locality,85688895.0,quattroshapes,,,ZA,Constance Kgosiemang,319,,101925023.0,
2,9,94027,"28.9952468872,-25.1812267303,29.0395317078,-25.1579284668",uuuu,85633813.0,,50b07ebfe5b6eba7cde8968a76d4d67d,,e9d035d19c52594ad72b414556886777,-25.168137,29.018191,101925029.0,uuuu,ZA,ZA,1452292192.0,-25.168028,29.014185,101925029.0,Waterval,102089531.0,101/925/029/101925029.geojson,locality,85688895.0,quattroshapes,,,ZA,Waterval,2295,Q7974522,101925029.0,35063361
3,11,94029,"28.8952350616,-25.1907081604,28.9095077515,-25.1691665649",uuuu,85633813.0,,b277fc139703b9fc2e839a3e7e6ee967,,ba40526cbadf6d4322be33bcfb16d6e3,-25.178845,28.902464,101925033.0,uuuu,ZA,ZA,1452292191.0,-25.17602,28.90414,101925033.0,Leeuwfontein,102089531.0,101/925/033/101925033.geojson,locality,85688895.0,quattroshapes,,,ZA,Kameeldrift,88,Q6356532,101925033.0,18771478
4,13,94031,"29.0225467682,-25.1947879791,29.0385494232,-25.1845092773",uuuu,85633813.0,,78529dba94ce7f595416c6f25c669e92,,0e0744dc0980b66ac6dec1403ed1178f,-25.189794,29.030674,101925037.0,uuuu,ZA,ZA,1452292193.0,-25.189859,29.030674,101925037.0,Makola,102089531.0,101/925/037/101925037.geojson,locality,85688895.0,quattroshapes,,,ZA,Makola,66,Q15622915,101925037.0,38944684
5,14,94032,"29.1002235413,-25.1949958801,29.1144790649,-25.1826915741",uuuu,85633813.0,,52c172e64e07a316490476731a4b12f3,,6ab870794fc51d58a22506512c26e83e,-25.188126,29.106614,101925039.0,uuuu,ZA,ZA,1452292193.0,-25.188469,29.105912,101925039.0,Stomp,102089299.0,101/925/039/101925039.geojson,locality,85688935.0,quattroshapes,,,ZA,Stomp,137,Q7618758,101925039.0,3523029
6,15,94033,"28.8952636719,-25.2023143768,28.9182109833,-25.1919593811",uuuu,85633813.0,,b8a98facc3e075a7c18bb6924fcf0641,,4c2ab847acd5662b7f0cb11baa019674,-25.196774,28.907939,101925041.0,uuuu,ZA,ZA,1452292191.0,-25.196431,28.908158,101925041.0,Leeuwfontein,102089531.0,101/925/041/101925041.geojson,locality,85688895.0,quattroshapes,,,ZA,Kameeldrift,88,Q6356532,101925041.0,18771478
7,16,94034,"27.3810806274,-25.2034378052,27.3988456726,-25.1895236969",uuuu,85633813.0,,64c3a984ff7fa3fd46bad14b2d5d3d0e,,d02ada5c1a6343452da135861b9a7c6e,-25.195065,27.389684,101925043.0,uuuu,ZA,ZA,1452292192.0,-25.195034,27.389683,101925043.0,Bojating,102089125.0,101/925/043/101925043.geojson,locality,85688931.0,quattroshapes,,,ZA,Ramokokastad,92,Q7289799,101925043.0,2417859
8,18,94036,"27.2572441101,-25.204744339,27.2727565765,-25.1707687378",uuuu,85633813.0,,7b277a19cec4addbf5649abbfcaf83c7,,d093c83700d437a3ef683d4643f7fe04,-25.185144,27.26407,101925049.0,uuuu,ZA,ZA,1452292192.0,-25.185103,27.263147,101925049.0,Mogwase,102089125.0,101/925/049/101925049.geojson,locality,85688931.0,quattroshapes,,,ZA,Mogwase,74,Q6890774,101925049.0,34824395
9,20,94038,"27.7675704956,-25.2063579559,27.8154525757,-25.1680450439",uuuu,85633813.0,,d5f3d5310b8f3cb75b7c033c919d0108,,2d533f495ba62929f9592c107da0ceed,-25.185947,27.789255,101925053.0,uuuu,ZA,ZA,1452292191.0,-25.187219,27.786898,101925053.0,Fafung,102089713.0,101/925/053/101925053.geojson,locality,85688931.0,quattroshapes,,,ZA,Isaac Kungwane,932,,101925053.0,
