,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount
1,64794,"34.4739212092,45.7292756464,34.492620947,45.7479750928",uuuu,85633805.0,,f3c9a110a06a4ff76481c76a21ce22c7,,7c83d8c1a9a0a6ef7c0e983eeb1c6a09,45.738625,34.483271,101858795.0,uuuu,UA,UA,1456449665.0,45.738625,34.483271,101858795.0,Зарічне,102087977.0,101/858/795/101858795.geojson,locality,85688855.0,quattroshapes,,,UA,List of urban-type settlements in Ukraine by subdivision,117
5,64798,"34.2358831591,45.7995009444,34.2545754315,45.81819336",uuuu,85633805.0,,a3b25410fcf69532a40f1a301e96e446,,07ed5539fe2b806be5b28a2d4fc7a8d9,45.808847,34.245229,101858803.0,uuuu,UA,UA,1456449665.0,45.808847,34.245229,101858803.0,Луганське,102087977.0,101/858/803/101858803.geojson,locality,85688855.0,quattroshapes,,,UA,"Luhanske, Bakhmut Raion",51
9,64802,"34.44106102,45.8778911823,34.4597709864,45.8966007072",uuuu,85633805.0,,ba080af2e1c8965c16df5c92dcb9b978,,2b44029aadaf04acfd0e0d88c55542ac,45.887245,34.450416,101858813.0,uuuu,UA,UA,1456449665.0,45.887246,34.450416,101858813.0,Солоне Озеро,102087977.0,101/858/813/101858813.geojson,locality,85688855.0,quattroshapes,,,UA,Solone Ozero,73
13,64806,"34.2908524971,45.5550779215,34.3095283338,45.5737541419",uuuu,85633805.0,,0115d21b5b58a27d27e806236e65774d,,95902740fcfcd6ffbd09ef66e0113533,45.564416,34.30019,101858821.0,uuuu,UA,UA,1456449665.0,45.564416,34.30019,101858821.0,Вільне,102087977.0,101/858/821/101858821.geojson,locality,85688855.0,quattroshapes,,,UA,Freemasonry in Ukraine,320
14,64807,"34.5621489618,45.576776354,34.5808412243,45.595468355",uuuu,85633805.0,,8fe1b6cf988548a5b5bcf9b4eab7ff64,,260c61a240c5fb60ce3171c66c1c3de1,45.586122,34.571495,101858825.0,uuuu,UA,UA,1456449665.0,45.586122,34.571495,101858825.0,Азовське,102087977.0,101/858/825/101858825.geojson,locality,85688855.0,quattroshapes,,,UA,Azov Cossack Host,1753
16,64810,"33.7794117021,45.8104393898,33.7980804756,45.8291078941",uuuu,85633805.0,,952b642d43774879ec75e260adf3e50f,,e1367a1e7295d729541cd15da135804a,45.819774,33.788746,101858831.0,uuuu,UA,UA,1456449665.0,45.819774,33.788746,101858831.0,Іллінка,102087979.0,101/858/831/101858831.geojson,locality,85688855.0,quattroshapes,,,UA,List of urban-type settlements in Ukraine by subdivision,117
17,64811,"33.9075058695,45.8267023993,33.9261826237,45.8453791995",uuuu,85633805.0,,d9e78a446eff0afc34be7da88a751877,,d10e98acad7f313a70bfb49e1870e8fc,45.836041,33.916844,101858833.0,uuuu,UA,UA,1456449665.0,45.836041,33.916844,101858833.0,Братське,102087979.0,101/858/833/101858833.geojson,locality,85688855.0,quattroshapes,,,UA,Bratske,307
19,64813,"33.8821324633,45.8545760013,33.9008100136,45.8732535812",uuuu,85633805.0,,f6a8133347de25f6bfbb70e25e04686c,,bfc8819d27bcdbe65e0b2de130533f20,45.863915,33.891471,101858837.0,uuuu,UA,UA,1456449665.0,45.863915,33.891471,101858837.0,Новопавлівка,102087979.0,101/858/837/101858837.geojson,locality,85688855.0,quattroshapes,,,UA,Zakharivka Raion,264
23,64817,"33.932295611,45.9499660206,33.9509831224,45.968653818",uuuu,85633805.0,,18c8709e329c5ee485aa20fb4a4ca896,,478a2fffd9fb6443150d3aa4fbad4246,45.95931,33.941639,101858847.0,uuuu,UA,UA,1456449665.0,45.95931,33.941639,101858847.0,Вишнівка,102087979.0,101/858/847/101858847.geojson,locality,85688855.0,quattroshapes,,,UA,Pohrebyshche Raion,247
25,64819,"34.0136569923,45.9872084406,34.0323518231,46.0059036392",uuuu,85633805.0,,d52363c0a3ed36d420d693bb5fa54f85,,f902fb31f09bf03e39041e695adcd561,45.996556,34.023004,101858851.0,uuuu,UA,UA,1456449665.0,45.996556,34.023004,101858851.0,Красноармійське,102087979.0,101/858/851/101858851.geojson,locality,85688855.0,quattroshapes,,,UA,Novoazovsk Raion,984
27,64821,"32.7643221432,46.1215897614,32.7829597548,46.1402270289",uuuu,85633805.0,,f9da09534cd8ae3164dafbd4303cffcc,,77b74f7645bf4b48f91454870e951b07,46.130908,32.773641,101858855.0,uuuu,UA,UA,1457384758.0,46.130908,32.773641,101858855.0,Красне,102087983.0,101/858/855/101858855.geojson,locality,85688843.0,quattroshapes,,,UA,"Krasne, Turka Raion",97
28,64822,"32.5071739609,46.076118802,32.5257945909,46.0947395379",uuuu,85633805.0,,ba18b519cf5e77728fbfee5191c8fc2b,,99e3a9b4a4f0a80e7e50a0699f9dd4f7,46.085429,32.516484,101858857.0,uuuu,UA,UA,1457385946.0,46.085429,32.516484,101858857.0,Лазурне,102087983.0,101/858/857/101858857.geojson,locality,85688843.0,quattroshapes,,,UA,List of urban-type settlements in Ukraine by subdivision,117
29,64824,"33.4661256825,46.1080095075,33.4848002204,46.1266836954",uuuu,85633805.0,,73d431b9aafd4a62b03c8cf6539438d0,,ff5e1f54e5e072308908c4618e6b8d24,46.117347,33.475463,101858863.0,uuuu,UA,UA,1456449665.0,46.117347,33.475463,101858863.0,Олександрівка,102087987.0,101/858/863/101858863.geojson,locality,85688843.0,quattroshapes,,,UA,Oleksandrivka,153
30,64825,"33.4583740543,46.236440793,33.4770580209,46.2551243876",uuuu,85633805.0,,d97fa202232d827298fe2d0deef07234,,938982669a5ef90107060ecbdf1b70de,46.245783,33.467716,101858865.0,uuuu,UA,UA,1456449665.0,46.245783,33.467716,101858865.0,Мирне,102087987.0,101/858/865/101858865.geojson,locality,85688843.0,quattroshapes,,,UA,List of urban-type settlements in Ukraine by subdivision,117
31,64826,"33.2624502684,46.2301235543,33.299798962,46.2674725704",uuuu,85633805.0,,42fd540a2741f962df108552dc44a4d0,,34c8fa03f0808ec18895584d91e3532b,46.248798,33.281125,101858867.0,uuuu,UA,UA,1457386165.0,46.248798,33.281125,101858867.0,Каланчак,102087987.0,101/858/867/101858867.geojson,locality,85688843.0,quattroshapes,,,UA,List of urban-type settlements in Ukraine by subdivision,117
34,64829,"34.8634269204,45.8932416038,34.8821612642,45.9119763145",uuuu,85633805.0,,cc4d0f5f90cb3253381dbfe5b5d66987,,54258289ee50581ae54502cc25ab3846,45.902609,34.872794,101858873.0,uuuu,UA,UA,1456449665.0,45.902609,34.872795,101858873.0,Стрілкове,102088043.0,101/858/873/101858873.geojson,locality,85688843.0,quattroshapes,,,UA,Strilkove,687
35,64830,"34.5329834738,46.0195829371,34.5517101075,46.038309541",uuuu,85633805.0,,7628744b1b0dea9f8ff15b131857cfeb,,b67cdd957bb6066e29a5c0e5a71bc117,46.028946,34.542347,101858875.0,uuuu,UA,UA,1456449665.0,46.028947,34.542347,101858875.0,Чонгар,102088043.0,101/858/875/101858875.geojson,locality,85688843.0,quattroshapes,,,UA,Chonhar,216
36,64831,"34.8272630287,46.0210961551,34.8460062697,46.039839649",uuuu,85633805.0,,af94df252f9b95686d2dcf96e42ed5cd,,ca48ee2bab7b4b9540c8a977a5113afd,46.030468,34.836635,101858879.0,uuuu,UA,UA,1456449665.0,46.030468,34.836635,101858879.0,Щасливцеве,102088043.0,101/858/879/101858879.geojson,locality,85688843.0,quattroshapes,,,UA,Shchaslyvtseve,109
37,64833,"34.614754583,46.1974922389,34.6522513821,46.234988624",uuuu,85633805.0,,9b50b4e73ce29d00c14e4984c5e9d3ab,,b2aff6eb985a548ccb83dea152786123,46.21624,34.633503,101858883.0,uuuu,UA,UA,1457384857.0,46.216241,34.633503,101858883.0,Новоолексіївка,102088043.0,101/858/883/101858883.geojson,locality,85688843.0,quattroshapes,,,UA,Novooleksiivka Railway station,123
38,64838,"15.4926548256,47.1347961953,15.5107009873,47.1528427222",uuuu,85632785.0,,0b12ca1798df62d5ddca918acdd8c9af,,2376f57000566543609727f412172f16,47.143819,15.501677,101858893.0,uuuu,AT,AT,1456449665.0,47.143819,15.501677,101858893.0,Niederschöckl,102049741.0,101/858/893/101858893.geojson,locality,85681687.0,quattroshapes,,,AT,Graz-Umgebung District,356
