,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount
0,10660,"114.646004,48.1357,114.646004,48.1357",uuuu,85632439.0,,8e1a8e644ee707d82913fe85d0ff9a4c,,ddd98c29bd5daf868633c8992d1bcff5,48.1357,114.646004,102547097.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Choybalsan Northeast Airport,85674787.0,102/547/097/102547097.geojson,campus,85674787.0,ourairports,,,,Choibalsan (city),400
1,10661,"106.766998,47.843102,106.766998,47.843102",uuuu,85632439.0,,08d1632bd6283f2ba794a2066141bcd3,,ef4150262e71547f52c0a57dd861079a,47.843102,106.766998,102547099.0,uuuu,,,1452296572.0,0.0,0.0,0.0,Ulaanbaatar Southwest Airport,85674783.0,102/547/099/102547099.geojson,campus,85674783.0,ourairports,,,,Chinggis Khaan International Airport,456
2,10662,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,f71d3808824b7e903dad9d18251336da,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547101.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Ondorhaan Airport,85674719.0,102/547/101/102547101.geojson,campus,85674719.0,missing,,,,Öndörkhaan,303
4,10664,"100.098999,49.6633,100.098999,49.6633",uuuu,85632439.0,,c9d0ee189e412200fb4cd78657201762,,e4e900e735f46d4badb06f99b737a6b9,49.6633,100.098999,102547105.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Moron Airport,85674741.0,102/547/105/102547105.geojson,campus,85674741.0,ourairports,,,,Mörön Airport,61
6,10666,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,4e7ac392be375e4068fb6af98785044b,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547111.0,uuuu,,,1452296573.0,0.0,0.0,0.0,Hovd Airport,85674737.0,102/547/111/102547111.geojson,campus,85674737.0,missing,,,,Khovd Province,536
12,10672,"113.285004,46.660301,113.285004,46.660301",uuuu,85632439.0,,494fec13f54b53a3790e22ba19b8d98c,,fad72a932e217776ab7cbedcbeb5b636,46.660301,113.285004,102547123.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Baruun Urt Airport,85674793.0,102/547/123/102547123.geojson,campus,85674793.0,ourairports,,,,Baruun-Urt Airport,48
14,10674,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,49d81fa760cd366e2daf755afda2da8b,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547129.0,uuuu,,,1452296572.0,0.0,0.0,0.0,Mongonmorit Airport,85674777.0,102/547/129/102547129.geojson,campus,85674777.0,missing,,,,Töv Province,433
15,10675,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,fbdf2cfc097f5969d7dec120e980abac,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547131.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Ulan Uul West Airport,85674709.0,102/547/131/102547131.geojson,campus,85674709.0,missing,,,,Ulaanbaatar,7942
17,10677,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,5078b84949e22dd67bbd6219ac4314bb,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547135.0,uuuu,,,1452296571.0,0.0,0.0,0.0,Arvayheer Airport,85674765.0,102/547/135/102547135.geojson,campus,85674765.0,missing,,,,Arvaikheer,559
18,10678,"0.0,0.0,0.0,0.0",uuuu,85632439.0,,534bc8625e5053b54757e3fab9884cb6,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102547137.0,uuuu,,,1452296572.0,0.0,0.0,0.0,Bayandelger East Airport,85674779.0,102/547/137/102547137.geojson,campus,85674779.0,missing,,,,Sükhbaatar Province,127
