,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
162099,"-80.31194,22.07694,-80.31194,22.07694",uuuu,85632675.0,,db9acbf7b8b08f1c3e4f217f37872bb0,,a7e8c15033bce2da4f51d1c010292ed9,22.07694,-80.31194,421170005.0,uuuu,CU,CU,1459008833.0,0.0,0.0,421170005.0,Arimao,85670403.0,421/170/005/421170005.geojson,locality,85670403.0,quattroshapes,,,CU
162100,"39.07626,15.39864,39.07626,15.39864",uuuu,85632781.0,,aa02041ea1eeaf570de6c04fa47ac34c,,b8354c98c25f2ade92aa0e61c08798a0,15.39864,39.07626,421170025.0,uuuu,ER,ER,1459008834.0,0.0,0.0,421170025.0,Imbatikala,85671105.0,421/170/025/421170025.geojson,locality,85671105.0,quattroshapes,,,ER
162102,"51.370697,25.214803,51.370697,25.214803",uuuu,85632299.0,,2e108ac045a0a5f13d8d7cb2f0a54974,,f15d6196bcdb48998b33b89e5b5d6ae1,25.214803,51.370697,421170063.0,uuuu,QA,QA,1459008835.0,0.0,0.0,421170063.0,السيلية,85676755.0,421/170/063/421170063.geojson,locality,85676755.0,quattroshapes,,,QA
162103,"51.220922,25.166167,51.220922,25.166167",uuuu,85632299.0,,924a6c2a22752a7352f32b0e7451a7c4,,b9c7533f1104016b4b1cd54eeea3d7e4,25.166167,51.220922,421170065.0,uuuu,QA,QA,1459008835.0,0.0,0.0,421170065.0,روضة راشد,85676755.0,421/170/065/421170065.geojson,locality,85676755.0,quattroshapes,,,QA
162104,"-84.61667,10.36667,-84.61667,10.36667",uuuu,85632487.0,,76ae875f5068d5032a9515581b347fa8,,03ac16c52ea44800be3fe3293f29c1b6,10.36667,-84.61667,421170067.0,uuuu,CR,CR,1459008835.0,0.0,0.0,421170067.0,Pocosol,85670393.0,421/170/067/421170067.geojson,locality,85670393.0,quattroshapes,,,CR
162107,"-81.03333,8.13333,-81.03333,8.13333",uuuu,85632179.0,,b8c89090f09e759789666c70a0c6ef53,,3243fd2874190b9ec9d60d5d4ccc9430,8.13333,-81.03333,421170073.0,uuuu,PA,PA,1459008836.0,0.0,0.0,421170073.0,La Peña,85675791.0,421/170/073/421170073.geojson,locality,85675791.0,quattroshapes,,,PA
162109,"-73.75156,3.12428,-73.75156,3.12428",uuuu,85632519.0,,67b7ac3a5c57cc80abf3e0a65553e61d,,dd95990c47448f3ae0aab0b514ceb018,3.12428,-73.75156,421170079.0,uuuu,CO,CO,1459008836.0,0.0,0.0,421170079.0,Vista Hermosa,85670255.0,421/170/079/421170079.geojson,locality,85670255.0,quattroshapes,,,CO
162110,"-62.83455,-32.5948,-62.83455,-32.5948",uuuu,85632505.0,,656bd2399248c982511ba070983da6d8,,90cd919e8771c1c77d4a9ceed24b64ce,-32.5948,-62.83455,421170081.0,uuuu,AR,AR,1459008836.0,0.0,0.0,421170081.0,Morrison,85668031.0,421/170/081/421170081.geojson,locality,85668031.0,quattroshapes,,,AR
162112,"-76.3627475,-6.4867425,-76.3627475,-6.4867425",uuuu,85632521.0,,e00ff2c7de5444dc7a7c27f28ea8801b,,f12fa366b7133d8fb5a2942146d17c38,-6.486743,-76.362747,421170085.0,uuuu,PE,PE,1459008836.0,0.0,0.0,421170085.0,Tarapoto,85675885.0,421/170/085/421170085.geojson,locality,85675885.0,quattroshapes,,,PE
162113,"-80.458635,-3.56662,-80.458635,-3.56662",uuuu,85632521.0,,aec8952d4bfe7c852416f63340517620,,4cd1d61048315fa0e757f9bc2b413568,-3.56662,-80.458635,421170087.0,uuuu,PE,PE,1459008836.0,0.0,0.0,421170087.0,Tumbes,85675831.0,421/170/087/421170087.geojson,locality,85675831.0,quattroshapes,,,PE
162114,"-73.366527,5.54833,-73.366527,5.54833",uuuu,85632519.0,,4b737860322d705d67055488373ffbd4,,9c20dce940f5ee8f05fb6b6d7ccfee09,5.54833,-73.366527,421170089.0,uuuu,CO,CO,1459008836.0,0.0,0.0,421170089.0,Tunja,85670133.0,421/170/089/421170089.geojson,locality,85670133.0,quattroshapes,,,CO
162115,"-73.642902,4.153395,-73.642902,4.153395",uuuu,85632519.0,,9255a02035bb0ecce5d512e74c907fe5,,da41969a7e2805c474e4eeb7ca8f0b9d,4.153395,-73.642902,421170091.0,uuuu,CO,CO,1459008836.0,0.0,0.0,421170091.0,Villavicencio,85670255.0,421/170/091/421170091.geojson,locality,85670255.0,quattroshapes,,,CO
162116,"-70.137233,-15.496335,-70.137233,-15.496335",uuuu,85632521.0,,bf55dbf28a31ae841bd3b07775b9b858,,60c8dbc2bd48ecbe74eb11ff484c491b,-15.496335,-70.137233,421170095.0,uuuu,PE,PE,1459008836.0,0.0,0.0,421170095.0,Juliaca,85675853.0,421/170/095/421170095.geojson,locality,85675853.0,quattroshapes,,,PE
