,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
896,"-8.57277950087,7.5442951464,-8.06722896355,8.21996510581",uuuu,85632691.0,,88b99d3106126d50f333a74b8a7bac74,,69ade5f9c85ad39c8d792519539f08ad,7.873139,-8.328075,85671461.0,uuuu,GN,GN,1457144741.0,7.874618,-8.332888,0.0,Lola,85632691.0,856/714/61/85671461.geojson,region,85671461.0,quattroshapes,,,GN
897,"-9.91989946519,7.75458405121,-8.85633921069,9.08972489299",uuuu,85632691.0,,8c47a3e37fa42714f3cf523b6db96989,,80cbbfb9dc25f5014e0ee8f9268c5cf2,8.489765,-9.326348,85671465.0,uuuu,GN,GN,1457144741.0,8.537396,-9.237141,0.0,Macenta,85632691.0,856/714/65/85671465.geojson,region,85671465.0,quattroshapes,,,GN
898,"-12.8629561022,11.6529401718,-11.3884215907,12.4316454076",uuuu,85632691.0,,34c54d07ef53d1732e046d94654d2047,,d597890705af68e8d9a3ee3d56531305,12.04959,-12.133498,85671467.0,uuuu,GN,GN,1457144741.0,12.034384,-12.073704,0.0,Mali,85632691.0,856/714/67/85671467.geojson,region,85671467.0,quattroshapes,,,GN
899,"-12.4260060287,9.88167583587,-11.2492347533,11.3261823593",uuuu,85632691.0,,c71029bed568f2335c6216e895d730a1,,ffe4b7ba595f19a4725ba1a4ca4b8833,10.481152,-11.863166,85671473.0,uuuu,GN,GN,1452291268.0,10.414424,-11.903176,0.0,Mamou,85632691.0,856/714/73/85671473.geojson,region,85671473.0,quattroshapes,,,GN
900,"-9.3730973008,9.94998809837,-7.96258418751,11.6494709272",uuuu,85632691.0,,d2907a37398db4af03488db1e7db28b7,,077eea211e7034808a873bab5df46c79,10.732004,-8.627584,85671479.0,uuuu,GN,GN,1457144741.0,10.659343,-8.616978,0.0,Mandiana,85632691.0,856/714/79/85671479.geojson,region,85671479.0,quattroshapes,,,GN
901,"-9.06940437481,7.62201650016,-8.42971334519,8.36417666592",uuuu,85632691.0,,8c3ff7be50bdeaa2aaa71b1e120b5f10,,ec179f2ca9b1b2b19f8ab803dee8e8e4,8.015673,-8.739435,85671483.0,uuuu,GN,GN,1452291268.0,8.059331,-8.765327,0.0,Nzérékoré,85632691.0,856/714/83/85671483.geojson,region,85671483.0,quattroshapes,,,GN
902,"-12.9640352031,10.4699376639,-12.1218385484,11.3216606715",uuuu,85632691.0,,8efebd0b2c03985a47e9626cfb348873,,d1c79dacf381df6f4fed4b6f7e222719,10.928098,-12.623446,85671485.0,uuuu,GN,GN,1457144741.0,10.992538,-12.594687,0.0,Pita,85632691.0,856/714/85/85671485.geojson,region,85671485.0,quattroshapes,,,GN
903,"-10.2077176582,10.8638437058,-8.72651688694,12.4975328587",uuuu,85632691.0,,db7bcc50b865d14146df19a35bd866fe,,a23741047a09603d0571bef0e3fa274e,11.63024,-9.405549,85671489.0,uuuu,GN,GN,1457144741.0,11.601087,-9.391486,0.0,Siguiri,85632691.0,856/714/89/85671489.geojson,region,85671489.0,quattroshapes,,,GN
904,"-12.0054890609,10.9995097927,-11.119312603,12.0404031387",uuuu,85632691.0,,e7543e59e8bf757f13658f1da8bdb79b,,f0bd98615c20e8e184c5035e7411fd4b,11.440913,-11.516997,85671497.0,uuuu,GN,GN,1457144741.0,11.390792,-11.523926,0.0,Tougué,85632691.0,856/714/97/85671497.geojson,region,85671497.0,quattroshapes,,,GN
905,"-9.490707967,7.19020823202,-8.72574173969,8.05322652398",uuuu,85632691.0,,97aaad366145d24cf8b83b02259e8b95,,9540a6c52661a52795f60f5638aac7b7,7.583452,-9.087377,85671499.0,uuuu,GN,GN,1457144741.0,7.595779,-9.113285,0.0,Yomou,85632691.0,856/714/99/85671499.geojson,region,85671499.0,quattroshapes,,,GN
906,"-14.1445316017,10.3972391623,-12.8748675202,11.3661024034",uuuu,85632691.0,,2d262ed681db4956a89f836a0447ce8f,,aeece166c8dde03163ad67005f4601c6,10.91821,-13.398595,85671503.0,uuuu,GN,GN,1457144741.0,10.977354,-13.461314,0.0,Télimélé,85632691.0,856/715/03/85671503.geojson,region,85671503.0,quattroshapes,,,GN
909,"-16.7629288396,13.3346407858,-16.585316536,13.4961611999",uuuu,85632603.0,,eb82f2db01d00cba062d26eaf0892846,,a857d1e74b49d6a2b3f16f7d6128368c,13.411306,-16.672795,85671517.0,uuuu,GM,GM,1457144741.0,13.404798,-16.681675,0.0,Banjul,85632603.0,856/715/17/85671517.geojson,region,85671517.0,quattroshapes,,,GM
929,"-61.4962458981,12.4403750674,-61.3838598299,12.5297305358",uuuu,85632335.0,,bd055e2aefb684c12527b92f4e289485,,978427feb17f699279390505c302f0b9,12.481299,-61.449603,85671605.0,uuuu,GD,GD,1452291027.0,12.477906,-61.445014,0.0,Carriacou and Petite Martinique,85632335.0,856/716/05/85671605.geojson,region,85671605.0,quattroshapes,,,GD
968,"114.112559441,22.2573830488,114.165700717,22.2887230488",uuuu,85632483.0,,a7d6bb49c2989cc6a9852b7329d2b6b4,,ca2f9ba01c1f14a74f79c86bb8f25706,22.273942,114.14303,85671775.0,uuuu,HK,HK,1452290905.0,22.275312,114.145181,0.0,Central and Western,85632483.0,856/717/75/85671775.geojson,region,85671775.0,quattroshapes,,,HK
969,"114.162484506,22.2582324234,114.195002451,22.279364325",uuuu,85632483.0,,9b42ff71094b983c6fc4707b8002df90,,bb2ca1d6061020d1100ea8df7969ebdb,22.268539,114.177294,85671779.0,uuuu,HK,HK,1452290905.0,22.269193,114.175978,0.0,Wan Chai,85632483.0,856/717/79/85671779.geojson,region,85671779.0,quattroshapes,,,HK
970,"114.178884311,22.2488874376,114.251475457,22.291856187",uuuu,85632483.0,,e8af7588b3a320e8dde4410a2c6f93e6,,ad3bd49a1ce03406429b34180823705a,22.270951,114.21502,85671785.0,uuuu,HK,HK,1452290905.0,22.273309,114.20897,0.0,Eastern,85632483.0,856/717/85/85671785.geojson,region,85671785.0,quattroshapes,,,HK
971,"114.112559441,22.1895612648,114.256114129,22.2715111355",uuuu,85632483.0,,41b09117a9fb85461b10d135f8626bb0,,1c8ceadc5072422d0d0c2f9c718e5fee,22.23813,114.197684,85671789.0,uuuu,HK,HK,1452290905.0,22.241814,114.203635,0.0,Southern,85632483.0,856/717/89/85671789.geojson,region,85671789.0,quattroshapes,,,HK
972,"114.159515821,22.2887230488,114.177055087,22.3230527362",uuuu,85632483.0,,e7e20bcfc82b021d2cf53543b1775e9f,,a6fd2103bcb90f608661a9da838ec82c,22.308361,114.170304,85671791.0,uuuu,HK,HK,1452290905.0,22.31034,114.170902,0.0,Yau Tsim Mong,85632483.0,856/717/91/85671791.geojson,region,85671791.0,quattroshapes,,,HK
973,"114.170032205,22.2910830749,114.214854363,22.3479882593",uuuu,85632483.0,,37e123cbaf7b1e12fe3a40fcaca57161,,e290bb60db2541cf417dca81e83704e6,22.322097,114.18937,85671797.0,uuuu,HK,HK,1452290905.0,22.324178,114.185974,0.0,Kowloon City,85632483.0,856/717/97/85671797.geojson,region,85671797.0,quattroshapes,,,HK
974,"114.136729363,22.3105736356,114.176274767,22.3447789089",uuuu,85632483.0,,40ae8ce4989c4b509a77b0beca84bd74,,6e1cf6a513c24ee798642cb9b9e5d513,22.331517,114.161404,85671799.0,uuuu,HK,HK,1452290905.0,22.33267,114.163219,0.0,Sham Shui Po,85632483.0,856/717/99/85671799.geojson,region,85671799.0,quattroshapes,,,HK
975,"114.185620477,22.3330741066,114.23401846,22.355703392",uuuu,85632483.0,,f4ca2fe9dcd6c5485a8981782cd77324,,1c7a85dcbe5451c9789e81202240c2f1,22.342984,114.210333,85671805.0,uuuu,HK,HK,1452291066.0,22.343712,114.210794,0.0,Wong Tai Sin,85632483.0,856/718/05/85671805.geojson,region,85671805.0,quattroshapes,,,HK
